id,AA,b,bs,el,f,g,j,k,l,tf,room,living,toilet,p
0,1,4,0.659,1,4,26.0,1,1,0,8,2,1,1,227934
1,5,1,0.6701999999999999,1,3,25.0,4,1,0,25,1,2,1,413223
2,5,1,0.6564,1,5,32.0,3,1,1,19,4,2,2,325643
4,1,1,0.5998,1,15,28.0,2,1,0,36,1,1,1,291802
5,1,1,0.6595,1,13,28.0,1,1,0,14,3,2,2,501233
6,1,1,0.43329999999999996,1,11,12.0,1,1,1,13,3,2,2,437769
7,2,2,0.9118999999999999,0,3,43.0,2,1,0,5,7,1,6,316245
9,1,4,0.7376,1,4,29.0,1,1,0,8,3,2,2,455527
10,1,2,0.8714,0,3,45.0,1,1,0,4,3,2,1,200982
12,5,2,0.7573000000000001,0,4,30.0,2,1,0,5,3,2,2,130688
13,1,1,0.4067,1,15,6.0,1,1,1,15,1,1,1,309408
14,1,1,0.7403,1,9,27.0,1,1,0,12,3,1,1,492165
16,1,1,0.7676999999999999,1,3,31.0,1,1,0,12,3,2,2,449084
17,1,2,0.9373,0,4,43.0,1,1,0,5,3,2,1,392612
18,1,1,0.3701,1,6,9.0,1,1,1,15,1,1,1,514215
21,1,4,0.6093,1,4,26.0,1,1,0,8,2,1,1,602575
22,1,1,0.5935,1,5,1.0,2,1,0,11,2,2,1,492942
23,1,1,0.42060000000000003,1,11,9.0,1,1,1,15,1,1,1,612988
24,5,1,0.39890000000000003,1,11,28.0,1,1,1,12,1,1,1,234301
25,1,4,0.8676999999999999,1,5,32.0,6,1,0,7,3,1,2,531683
27,1,1,0.6443000000000001,1,21,28.0,2,1,0,36,3,2,2,375699
28,2,2,0.9415,0,1,33.0,1,1,0,5,4,2,1,310304
29,1,1,0.662,1,19,28.0,2,1,0,36,3,2,2,361547
30,1,1,0.31679999999999997,1,12,28.0,1,1,1,14,1,1,1,543074
31,1,1,0.6967,1,6,28.0,2,1,0,16,2,2,1,525220
32,1,1,0.6071,1,14,15.0,2,1,0,15,3,2,2,380364
33,1,1,0.7784,1,11,30.0,2,1,0,16,1,1,1,458205
34,1,1,0.7338,1,2,27.0,1,1,0,12,2,2,1,555636
35,1,1,0.6394,1,6,26.0,2,1,0,17,4,2,2,383650
36,5,2,0.925,0,4,43.0,1,1,0,4,4,2,2,202119
37,1,2,0.8618000000000001,0,3,44.0,1,1,0,5,2,2,2,365729
38,1,1,0.5724,1,5,12.0,3,1,0,11,2,2,1,599921
39,1,4,0.3993,1,5,14.0,1,1,1,9,2,1,1,484003
40,1,4,0.6953,1,4,29.0,1,1,0,7,2,2,1,460377
41,1,1,0.6787000000000001,1,27,26.0,1,1,0,32,3,2,1,275689
