AA11,AA12,a,b,bn,bs,city,commid,cp,e,el,es,f,fi,g,id,j,k,l,lat,lon,m,mark,msg,note,p,parkmain,pimg,pu,punit,r,reid,s,sq,t,town,tp,tunit,type,unit,v
住,,汐止區工建路００６４號４樓之２#汐止區工建路６４號４樓之２,華廈(10層含以下有電梯),,65.90%,F,,,114/04/08,有,,四層/八層,,26,0,1,1,0,25.06326411662109,121.64080932297561,有,,總價/總面積,買賣關係 大伯、侄子關係親友、員工、共有人或其他特殊關係間之交易;,"227,934",N,bt_06.png,住家用,1,40,,26.32,9e46XywGbKbPThAkGCtiMxvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"6,000,000",1,Biz,2,2房1廳1衛
,丙種建築用地,汐止區湖前街１１０巷０９７弄０００４之３號３樓#汐止區湖前街１１０巷９７弄４之３號３樓,住宅大樓(11層含以上有電梯),水蓮山莊,67.02%,F,Ssriust4+OGsIqGdhQU+UhvQss5zmvokDklTVTp7Ke8=,,114/03/01,有,,三層/二十五層,,25,1,4,1,0,25.076869558224182,121.63230567274802,有,,總價/總面積,,"413,223",N,bt_05.png,住家用,1,294,,17.67,Ssriust4+OGsIqGdhQU+UhvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"7,300,000",1,Biz,2,1房2廳1衛
,乙種建築用地,汐止區林森街０７３巷００２１號５樓#汐止區林森街７３巷２１號５樓,住宅大樓(11層含以上有電梯),康詩丹郡,65.64%,F,Ra/hyFqax+wNmxftYdPwcRvQss5zmvokDklTVTp7Ke8=,150,114/03/06,有,,五層/十九層,,32,2,3,1,1,25.04181513426261,121.62349432700938,有,,總價/總面積,,"325,643",N,bt_05.png,住家用,1,118,,57.73,Ra/hyFqax+wNmxftYdPwcRvQss5zmvokDklTVTp7Ke8=,房地(土地+建物)+車位,F28,"18,800,000",1,Biz,2,4房2廳2衛
,丙種建築用地,汐止區勤進路０８３巷０００３號２樓之１８#汐止區勤進路８３巷３號２樓之１８,華廈(10層含以下有電梯),世運村,87.82%,F,mO1XQodt0rq2lNzXCQZwYhvQss5zmvokDklTVTp7Ke8=,,114/03/09,有,,二層/七層,,43,3,1,1,0,25.059016142833883,121.66248284860339,有,,總價/總面積,,"301,339",N,bt_06.png,住家用,1,71,,10.06,mO1XQodt0rq2lNzXCQZwYhvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"3,030,000",1,Biz,2,1房1衛
住,,汐止區新台五路二段０１９４號１５樓#汐止區新台五路二段１９４號１５樓,住宅大樓(11層含以上有電梯),江山萬里,59.98%,F,J7wD+MsDjJEVv6RurpNO+hvQss5zmvokDklTVTp7Ke8=,,114/03/07,有,,十五層/三十六層,,28,4,2,1,0,25.06666423550566,121.6682034396046,有,,總價/總面積,親友、員工、共有人或其他特殊關係間之交易;,"291,802",N,bt_05.png,住家用,1,63,,15.42,J7wD+MsDjJEVv6RurpNO+hvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"4,500,000",1,Biz,2,1房1廳1衛
住,,汐止區建成路１６０巷００１１號十三樓#汐止區建成路１６０巷１１號十三樓,住宅大樓(11層含以上有電梯),非常台北,65.95%,F,Tvw9LzDovlI62ftDAJqCgRvQss5zmvokDklTVTp7Ke8=,,114/03/06,有,,十三層/十四層,,28,5,1,1,0,25.073862684140494,121.66144260652729,有,,總價/總面積,陽台外推;其他增建;,"501,233",N,bt_05.png,住家用,1,78,,33.92,Tvw9LzDovlI62ftDAJqCgRvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"17,000,000",1,Biz,2,3房2廳2衛
住,,汐止區民族一街００６６號十一樓#汐止區民族一街６６號十一樓,住宅大樓(11層含以上有電梯),樂捷市,43.33%,F,evr00PWV+cSgJaJVhWZfdRvQss5zmvokDklTVTp7Ke8=,,114/03/09,有,52.67%,十一層/十三層,,12,6,1,1,1,25.070853160656775,121.63319661042792,有,,總價/總面積,陽台外推;其他增建;,"437,769",N,bt_05.png,住家用,1,28,,47.51,evr00PWV+cSgJaJVhWZfdRvQss5zmvokDklTVTp7Ke8=,房地(土地+建物)+車位,F28,"20,800,000",1,Biz,2,3房2廳2衛
商,,汐止區中正路００８３號３樓#汐止區中正路８３號３樓,公寓(5樓含以下無電梯),,91.19%,F,,,114/03/03,無,,三層/五層,,43,7,2,1,0,25.06933108939567,121.66134888212427,無,,總價/總面積,其他增建;,"316,245",N,bt_01.png,住家用,1,14,,48.06,9pD6/GygHgmN0HmoxQ/mSxvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"15,200,000",1,Biz,2,7房1廳6衛
住,,汐止區力行街００４１號２樓#汐止區力行街４１號２樓,公寓(5樓含以下無電梯),,100.00%,F,,,114/03/14,無,,二層/四層,,,8,2,1,0,25.05000451584907,121.61676686162185,無,,總價/總面積,親友、員工、共有人或其他特殊關係間之交易;,"365,147",N,bt_01.png,住家用,1,14,,20.54,zgEzeJ6HZPIG+Bbx42GiIhvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"7,500,000",1,Biz,2,3房2廳1衛
住,,汐止區湖前街０５３巷０００１號４樓#汐止區湖前街５３巷１號４樓,華廈(10層含以下有電梯),濱湖大城,73.76%,F,Qmd2YYoT+Yf56naW+En+XhvQss5zmvokDklTVTp7Ke8=,,114/03/12,有,,四層/八層,,29,9,1,1,0,25.069902221231178,121.63178420261548,無,,總價/總面積,,"455,527",N,bt_06.png,住家用,1,50,,29.64,Qmd2YYoT+Yf56naW+En+XhvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"13,500,000",1,Biz,2,3房2廳2衛
